YEAR,APT_NAME,Departures,Arrivals,Total
2018,Istanbul Sabiha Gökçen,112902,112966,225868
2018,Istres-Le Tubé,1097,1095,2192
2018,Izmir - Adnan Menderes,42038,42043,84081
2018,Jerez De La Frontera,7534,7526,15060
2018,Karlovy Vary,775,830,1605
2018,Katowice - Pyrzowice,18749,18753,37502
2018,Kaunas,4408,4422,8830
2018,Kefallinia,3533,3542,7075
2018,Kerry - Farranfore,2251,2242,4493
2018,Khania - Souda,12627,12585,25212
2018,Kiev - Boryspil,48626,48622,97248
2018,Kirkenes Høybuktmoen,3775,3774,7549
2018,Klagenfurt,3561,3545,7106
2018,Kos,10262,10252,20514
2018,Krakow - Balice,27458,27486,54944
2018,Kristiansand Kjevik,7937,7958,15895
2018,Kristiansund Kvernberget,4963,4943,9906
2018,La Coruna,5747,5795,11542
